Rank,Technique,Threshold,Accuracy,Macro F1,Hateful F1,Hateful Recall,Refined Count,Refinement Rate,Changed Predictions,Net Correction Gain
1,atomic,0.95,0.723,0.710931,0.651864,0.731203,653,0.217667,60,16
2,atomic,0.75,0.722333,0.709735,0.649263,0.724624,426,0.142,48,14
3,atomic,0.85,0.722,0.709597,0.64958,0.726504,495,0.165,53,13
4,atomic,0.6,0.722,0.70926,0.648398,0.722744,371,0.123667,45,13
5,cot,0.6,0.718667,0.704898,0.641156,0.708647,371,0.123667,25,3
6,cot,0.75,0.718333,0.704593,0.640884,0.708647,426,0.142,26,2
7,cot,0.85,0.717667,0.703983,0.64034,0.708647,495,0.165,28,0
8,dynamic_qa,0.85,0.717333,0.706279,0.649297,0.737782,495,0.165,91,-1
9,cot,0.95,0.717333,0.703678,0.640068,0.708647,653,0.217667,29,-1
10,dynamic_qa,0.75,0.717,0.705574,0.647572,0.733083,426,0.142,82,-2
11,dynamic_qa,0.6,0.716333,0.704799,0.646448,0.731203,371,0.123667,80,-4
12,static_qa,0.75,0.715,0.707024,0.658683,0.775376,426,0.142,178,-8
13,static_qa,0.6,0.715,0.706621,0.65704,0.769737,371,0.123667,166,-8
14,dynamic_qa,0.95,0.715,0.704365,0.648293,0.740602,653,0.217667,104,-8
15,static_qa,0.85,0.713333,0.705994,0.659541,0.782895,495,0.165,199,-13
16,static_qa,0.95,0.712,0.70561,0.662236,0.796053,653,0.217667,231,-17
